"MSA","Counties","Wage Index","GAF"
"0040","Abilene, TX Taylor, TX","0.8026","0.8602"
"0060","Aguadilla, PR Aguada, PR Aguadilla, PR Moca, PR","0.4287","0.5599"
"0080","Akron, OH Portage, OH Summit, OH","0.9042","0.9334"
"0120","Albany, GA Dougherty, GA Lee, GA","1.1277","1.0858"
"0160","Albany-Schenectady-Troy, NY Albany, NY Montgomery, NY Rensselaer, NY Saratoga, NY Schenectady, NY Schoharie, NY","0.8587","0.9009"
"0200","Albuquerque, NM Bernalillo, NM Sandoval, NM Valencia, NM","1.0486","1.0330"
"0220","Alexandria, LA Rapides, LA","0.8178","0.8713"
"0240","Allentown-Bethlehem-Easton, PA Carbon, PA Lehigh, PA Northampton, PA","0.9557","0.9694"
"0280","Altoona, PA Blair, PA","0.8452","0.8912"
"0320","Amarillo, TX   Potter, TX Randall, TX","0.9177","0.9429"
"0380","Anchorage, AK Anchorage, AK","1.2164","1.1436"
"0440","Ann Arbor, MI Lenawee, MI Livingston, MI Washtenaw, MI","1.0829","1.0561"
"0450","Anniston, AL Calhoun, AL","0.7949","0.8545"
"0460","2 Appleton-Oshkosh-Neenah, WI Calumet, WI Outagamie, WI Winnebago, WI","0.9496","0.9652"
"0470","2 Arecibo, PR Arecibo, PR Camuy, PR Hatillo, PR","0.4049","0.5384"
"0480","Asheville, NC Buncombe, NC Madison, NC","0.9525","0.9672"
"0500","Athens, GA Clarke, GA Madison, GA Oconee, GA","1.0173","1.0118"
"0520","1 Atlanta, GA Barrow, GA Bartow, GA Carroll, GA Cherokee, GA Clayton, GA Cobb, GA Coweta, GA DeKalb, GA Douglas, GA Fayette, GA Forsyth, GA Fulton, GA Gwinnett, GA Henry, GA Newton, GA Paulding, GA Pickens, GA Rockdale, GA Spalding, GA Walton, GA","0.9960","0.9973"
"0560","2 Atlantic-Cape May, NJ Atlantic, NJ Cape May, NJ","1.1788","1.1192"
"0580","Auburn-Opelika, AL Lee, AL","0.8221","0.8745"
"0600","Augusta-Aiken, GA-SC Columbia, GA McDuffie, GA Richmond, GA Aiken, SC Edgefield, SC","0.9209","0.9451"
"0640","1 Austin-San Marcos, TX Bastrop, TX Caldwell, TX Hays, TX Travis, TX Williamson, TX","0.9597","0.9722"
"0680","2 Bakersfield, CA Kern, CA","1.0262","1.0179"
"0720","1 Baltimore, MD Anne Arundel, MD Baltimore, MD Baltimore City, MD Carroll, MD Harford, MD Howard, MD Queen Anne’s, MD","0.9892","0.9926"
"0733","Bangor, ME Penobscot, ME","0.9937","0.9957"
"0743","Barnstable-Yarmouth, MA Barnstable, MA","1.2327","1.1540"
"0760","Baton Rouge, LA Ascension, LA East Baton Rouge, LA Livingston, LA West Baton Rouge, LA","0.8356","0.8843"
"0840","Beaumont-Port Arthur, TX Hardin, TX Jefferson, TX Orange, TX","0.8617","0.9031"
"0860","Bellingham, WA Whatcom, WA","1.1605","1.1073"
"0870","Benton Harbor, MI Berrien, MI","0.8901","0.9234"
"0875","1 Bergen-Passaic, NJ Bergen, NJ Passaic, NJ","1.2011","1.1337"
"0880","Billings, MT Yellowstone, MT","0.8973","0.9285"
"0920","Biloxi-Gulfport-Pascagoula, MS Hancock, MS Harrison, MS Jackson, MS","0.8637","0.9045"
"0960","Binghamton, NY Broome, NY Tioga, NY","0.8464","0.8921"
"1000","Birmingham, AL Blount, AL Jefferson, AL St. Clair, AL Shelby, AL","0.9198","0.9444"
"1010","2 Bismarck, ND Burleigh, ND Morton, ND","0.7750","0.8398"
"1020","2 Bloomington, IN Monroe, IN","0.8740","0.9119"
"1040","Bloomington-Normal, IL McLean, IL","0.9110","0.9382"
"1080","Boise City, ID Ada, ID Canyon, ID","0.9338","0.9542"
"1123","1 Boston-Worcester-Lawrence- Lowell-Brockton,  MA-NH Bristol, MA Essex, MA Middlesex, MA Norfolk, MA Plymouth, MA Suffolk, MA Worcester, MA Hillsborough, NH Merrimack, NH Rockingham, NH Strafford, NH","1.1285","1.0863"
"1125","Boulder-Longmont, CO Boulder, CO","1.0044","1.0030"
"1145","Brazoria, TX Brazoria, TX","0.8535","0.8972"
"1150","Bremerton, WA Kitsap, WA","1.0608","1.0412"
"1240","Brownsville-Harlingen-San Benito, TX Cameron, TX","1.0158","1.0108"
"1260","Bryan-College Station, TX Brazos, TX","0.9246","0.9477"
"1280","1 Buffalo-Niagara Falls, NY Erie, NY Niagara, NY","0.9332","0.9538"
"1303","2 Burlington, VT Chittenden, VT Franklin, VT Grand Isle, VT","0.9487","0.9646"
"1310","Caguas, PR Caguas, PR Cayey, PR Cidra, PR Gurabo, PR San Lorenzo, PR","0.4062","0.5396"
"1320","Canton-Massillon, OH Carroll, OH Stark, OH","0.8908","0.9239"
"1350","Casper, WY Natrona, WY","0.9327","0.9534"
"1360","Cedar Rapids, IA Linn, IA","0.8963","0.9278"
"1400","Champaign-Urbana, IL Champaign, IL","0.9515","0.9665"
